task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,regime,checkpoint,test_loss,population_loss
s9308_r1_n000_a125,confirmatory,9308,1,0.0,0.125,feedback_only,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,fixed_cache,16,1.2328668780875319e-05,1.2329875305398719e-05
s9308_r1_n000_a125,confirmatory,9308,1,0.0,0.125,feedback_only,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,fixed_cache,16,1.2152211685213586e-05,1.2153786666441236e-05
s9308_r1_n000_a125,confirmatory,9308,1,0.0,0.125,feedback_only,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,fixed_cache,16,7.65768122844865e-06,7.66727252601381e-06
s9308_r1_n000_a125,confirmatory,9308,1,0.0,0.125,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,fixed_cache,16,1.4815586741235632e-06,1.4931386707544713e-06
s9308_r1_n000_a125,confirmatory,9308,1,0.0,0.125,feedback_only,balanced_interleaved_k1,balanced_interleaved,balanced,1,0.19088469787505546,0.125,0.6588469787505544,64,64,8,fixed_cache,16,1.2328668780875319e-05,1.2329875305398719e-05
s9308_r1_n000_a125,confirmatory,9308,1,0.0,0.125,feedback_only,balanced_interleaved_k2,balanced_interleaved,balanced,2,0.31588469787505546,0.25,0.6588469787505544,64,64,16,fixed_cache,16,1.1006727734579655e-05,1.101060846801098e-05
s9308_r1_n000_a125,confirmatory,9308,1,0.0,0.125,feedback_only,balanced_interleaved_k4,balanced_interleaved,balanced,4,0.5658846978750555,0.5,0.6588469787505544,64,64,32,fixed_cache,16,1.9152892363807972e-06,1.927613859795464e-06
s9308_r1_n000_a125,confirmatory,9308,1,0.0,0.125,feedback_only,balanced_interleaved_k8,balanced_interleaved,balanced,8,1.0658846978750554,1.0,0.6588469787505544,64,64,64,fixed_cache,16,1.4815586741235632e-06,1.4931386707544713e-06
s9308_r1_n000_a125,confirmatory,9308,1,0.0,0.125,feedback_only,balanced_permutation_a_k1,balanced_permutation_a,balanced,1,0.18899250811836066,0.125,0.6399250811836067,64,64,8,fixed_cache,16,1.2328668780875319e-05,1.2329875305398719e-05
s9308_r1_n000_a125,confirmatory,9308,1,0.0,0.125,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2,0.31399250811836066,0.25,0.6399250811836067,64,64,16,fixed_cache,16,1.0795776886480671e-05,1.0800065076471296e-05
s9308_r1_n000_a125,confirmatory,9308,1,0.0,0.125,feedback_only,balanced_permutation_a_k4,balanced_permutation_a,balanced,4,0.5639925081183607,0.5,0.6399250811836067,64,64,32,fixed_cache,16,6.438151471339523e-06,6.449324129560104e-06
s9308_r1_n000_a125,confirmatory,9308,1,0.0,0.125,feedback_only,balanced_permutation_a_k8,balanced_permutation_a,balanced,8,1.0639925081183608,1.0,0.6399250811836067,64,64,64,fixed_cache,16,1.4815586741235632e-06,1.4931386707544713e-06
