model,task,optimizer,rule,mean,std,count
algebraic,matching,adam,calibrated_broadcast,0.02284237241953658,0.0007253392258428398,20
algebraic,matching,adam,exact,0.03172611530596351,0.0358380949724963,20
algebraic,matching,adam,sign_broadcast,0.022842372460826946,0.0007253391581530406,20
algebraic,matching,adam,unit_broadcast,0.025164214041292533,0.004329777591624868,20
algebraic,matching,sgd,calibrated_broadcast,0.29812611210100903,0.21599086102007214,20
algebraic,matching,sgd,exact,0.06478776846564564,0.10021405410398361,20
algebraic,matching,sgd,sign_broadcast,0.022734089882194226,0.0006501093354716774,20
algebraic,matching,sgd,unit_broadcast,0.02297954567998829,0.0007369984827941866,20
algebraic,nested,adam,calibrated_broadcast,0.7677489954645539,0.033299639458807345,20
algebraic,nested,adam,exact,0.022953246897965653,0.0006775645037737375,20
algebraic,nested,adam,sign_broadcast,0.7677488752238953,0.03330002040008971,20
algebraic,nested,adam,unit_broadcast,0.7522221135916674,0.045000894239988785,20
algebraic,nested,sgd,calibrated_broadcast,0.8218229602584607,0.10252669951302194,20
algebraic,nested,sgd,exact,0.2596297775950881,0.24610198935218866,20
algebraic,nested,sgd,sign_broadcast,0.7728627337042988,0.025701344007962652,20
algebraic,nested,sgd,unit_broadcast,0.7508784188265932,0.06014203238166697,20
algebraic,quartet,adam,calibrated_broadcast,0.9862361794212664,0.09654380424531832,20
algebraic,quartet,adam,exact,0.151635576589297,0.270661471249059,20
algebraic,quartet,adam,sign_broadcast,0.9862360624944202,0.09654398973422855,20
algebraic,quartet,adam,unit_broadcast,0.9682444156520076,0.135511352543616,20
algebraic,quartet,sgd,calibrated_broadcast,0.9544434169006152,0.13818140292552633,20
algebraic,quartet,sgd,exact,0.29893302667734184,0.327329716077158,20
algebraic,quartet,sgd,sign_broadcast,0.9834745706682142,0.11615804260799399,20
algebraic,quartet,sgd,unit_broadcast,1.5512401618245797,1.870438142970829,20
conductance,0,adam,calibrated_broadcast,1.5323974780321922e-06,3.123396505261888e-06,20
conductance,0,adam,exact,5.40768333836938e-06,1.2356407861388783e-05,20
conductance,0,adam,sign_broadcast,1.532393407993969e-06,3.123389030604854e-06,20
conductance,0,adam,unit_broadcast,1.532393407993969e-06,3.123389030604854e-06,20
conductance,0,sgd,calibrated_broadcast,0.02427121977149011,0.016291529454170305,20
conductance,0,sgd,exact,0.020160366368311155,0.011001010409888986,20
conductance,0,sgd,sign_broadcast,0.007219411358361049,0.0032817786283319884,20
conductance,0,sgd,unit_broadcast,0.007219411358361049,0.0032817786283319884,20
conductance,1,adam,calibrated_broadcast,7.116147776659548e-07,1.1643374958259556e-06,20
conductance,1,adam,exact,6.562447611578309e-06,2.333772338207306e-05,20
conductance,1,adam,sign_broadcast,7.116120854809885e-07,1.1643339790581968e-06,20
conductance,1,adam,unit_broadcast,7.116120854809885e-07,1.1643339790581968e-06,20
conductance,1,sgd,calibrated_broadcast,0.02682752742312468,0.014763433291961283,20
conductance,1,sgd,exact,0.02232459498980649,0.011033099666017067,20
conductance,1,sgd,sign_broadcast,0.00773251401955799,0.003488723360726796,20
conductance,1,sgd,unit_broadcast,0.00773251401955799,0.003488723360726796,20
conductance,2,adam,calibrated_broadcast,1.7927329350829228e-06,6.5170534346014875e-06,20
conductance,2,adam,exact,1.6199370711118902e-05,6.832354687575923e-05,20
conductance,2,adam,sign_broadcast,1.7927303436969297e-06,6.51704675212305e-06,20
conductance,2,adam,unit_broadcast,1.7927303436969297e-06,6.51704675212305e-06,20
conductance,2,sgd,calibrated_broadcast,0.02453916958823658,0.014956069839091308,20
conductance,2,sgd,exact,0.02029327195317707,0.010878400220378958,20
conductance,2,sgd,sign_broadcast,0.006879601053274095,0.0037427755456825485,20
conductance,2,sgd,unit_broadcast,0.006879601053274095,0.0037427755456825485,20
