panel,record,architecture,arm,cohort,contrast,basis,profiles_k,checkpoint,site_display_position,site_index,profile_column,seed,value,mean,ci_low,ci_high,n,positive_seeds,unit,source_table,inference_status,convergence_flag_seed,pixel_row,pixel_col
C,indicator support,,,,,K = 3,3.0,,7.0,8.0,2.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 3,3.0,,8.0,2.0,0.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 3,3.0,,8.0,2.0,1.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 3,3.0,,8.0,2.0,2.0,,1.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 3,3.0,,9.0,9.0,0.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 3,3.0,,9.0,9.0,1.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 3,3.0,,9.0,9.0,2.0,,1.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 3,3.0,,10.0,10.0,0.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 3,3.0,,10.0,10.0,1.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 3,3.0,,10.0,10.0,2.0,,1.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 3,3.0,,11.0,11.0,0.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 3,3.0,,11.0,11.0,1.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 3,3.0,,11.0,11.0,2.0,,1.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,0.0,0.0,0.0,,1.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,0.0,0.0,1.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,0.0,0.0,2.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,0.0,0.0,3.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,0.0,0.0,4.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,0.0,0.0,5.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,0.0,0.0,6.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,0.0,0.0,7.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,0.0,0.0,8.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,0.0,0.0,9.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,0.0,0.0,10.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,0.0,0.0,11.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,1.0,3.0,0.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,1.0,3.0,1.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,1.0,3.0,2.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,1.0,3.0,3.0,,1.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,1.0,3.0,4.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,1.0,3.0,5.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,1.0,3.0,6.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,1.0,3.0,7.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,1.0,3.0,8.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,1.0,3.0,9.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,1.0,3.0,10.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,1.0,3.0,11.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,2.0,4.0,0.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,2.0,4.0,1.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,2.0,4.0,2.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,2.0,4.0,3.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,2.0,4.0,4.0,,1.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,2.0,4.0,5.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,2.0,4.0,6.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,2.0,4.0,7.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,2.0,4.0,8.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,2.0,4.0,9.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,2.0,4.0,10.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,2.0,4.0,11.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,3.0,5.0,0.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,3.0,5.0,1.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,3.0,5.0,2.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,3.0,5.0,3.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,3.0,5.0,4.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,3.0,5.0,5.0,,1.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,3.0,5.0,6.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,3.0,5.0,7.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,3.0,5.0,8.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,3.0,5.0,9.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,3.0,5.0,10.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,3.0,5.0,11.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,4.0,1.0,0.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,4.0,1.0,1.0,,1.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,4.0,1.0,2.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,4.0,1.0,3.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,4.0,1.0,4.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,4.0,1.0,5.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,4.0,1.0,6.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,4.0,1.0,7.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,4.0,1.0,8.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,4.0,1.0,9.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,4.0,1.0,10.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,4.0,1.0,11.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,5.0,6.0,0.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,5.0,6.0,1.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,5.0,6.0,2.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,5.0,6.0,3.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,5.0,6.0,4.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,5.0,6.0,5.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,5.0,6.0,6.0,,1.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,5.0,6.0,7.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,5.0,6.0,8.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,5.0,6.0,9.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,5.0,6.0,10.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,5.0,6.0,11.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,6.0,7.0,0.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,6.0,7.0,1.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,6.0,7.0,2.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,6.0,7.0,3.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,6.0,7.0,4.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,6.0,7.0,5.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,6.0,7.0,6.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,6.0,7.0,7.0,,1.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,6.0,7.0,8.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,6.0,7.0,9.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,6.0,7.0,10.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,6.0,7.0,11.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,7.0,8.0,0.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,7.0,8.0,1.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,7.0,8.0,2.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,7.0,8.0,3.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,7.0,8.0,4.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,7.0,8.0,5.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,7.0,8.0,6.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,7.0,8.0,7.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,7.0,8.0,8.0,,1.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,7.0,8.0,9.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,7.0,8.0,10.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,7.0,8.0,11.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,8.0,2.0,0.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,8.0,2.0,1.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,8.0,2.0,2.0,,1.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,8.0,2.0,3.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,8.0,2.0,4.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,8.0,2.0,5.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,8.0,2.0,6.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,8.0,2.0,7.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,8.0,2.0,8.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,8.0,2.0,9.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,8.0,2.0,10.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
C,indicator support,,,,,K = 12,12.0,,8.0,2.0,11.0,,0.0,,,,,,indicator (0 or 1),source_data/credit_first_figures/figure_01_illustrative_dictionaries.npz,,,,
