family,policy,n_tasks,mean_nmse,mean_regret,max_regret,mean_score_tie_count,n_positive_regret
quadratic_matching,best_fixed_in_hindsight,105,0.5428571428571428,0.17380952380952383,0.75,1.0,61
quadratic_matching,centered_cut_bound,105,0.37857142857142856,0.009523809523809554,0.2500000000000001,2.704761904761905,4
quadratic_matching,centered_cut_sum,105,0.39285714285714285,0.023809523809523836,0.2500000000000001,1.4857142857142858,10
quadratic_matching,fixed_balanced_p0,105,0.55,0.18095238095238098,0.75,1.0,59
quadratic_matching,full_cut_bound,105,0.39285714285714285,0.02380952380952384,0.2500000000000001,4.609523809523809,10
quadratic_matching,two_sweep_pilot,105,0.36904761904761907,3.066330258488528e-17,1.1102230246251565e-16,2.6095238095238096,0
quadratic_matching,uniform_random_expectation,105,0.6390873015904422,0.2700396825428232,0.6458333333333334,12.0,105
quartic_partition,best_fixed_in_hindsight,35,0.4857142857142857,0.042857142857142885,0.5,1.0,3
quartic_partition,centered_cut_bound,35,0.44285714285714284,2.2204460492503132e-17,1.1102230246251565e-16,10.742857142857142,0
quartic_partition,centered_cut_sum,35,0.44285714285714284,1.2688263138573217e-17,1.1102230246251565e-16,1.6571428571428573,0
quartic_partition,fixed_balanced_p0,35,0.4857142857142857,0.042857142857142885,0.5,1.0,3
quartic_partition,full_cut_bound,35,0.4857142857142857,0.042857142857142885,0.5,12.0,3
quartic_partition,two_sweep_pilot,35,0.44285714285714284,2.5376526277146434e-17,1.1102230246251565e-16,9.82857142857143,0
quartic_partition,uniform_random_expectation,35,0.4952380952380952,0.05238095238095241,0.4583333333333333,12.0,4
