cohort,architecture,seed,checkpoint,checkpoint_sha256,forward_max_difference,coordinate,basis,n_fields,mean_capture,ensemble_energy_capture
fresh,additive,50300,initial,17a61e02748aa485c69bdde73560bff130dc93987a4f26817c85e7fef4cca186,0.0,activation,broadcast_k1,262144,0.8525014496358806,0.8896337231000686
fresh,additive,50300,initial,17a61e02748aa485c69bdde73560bff130dc93987a4f26817c85e7fef4cca186,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50300,initial,17a61e02748aa485c69bdde73560bff130dc93987a4f26817c85e7fef4cca186,0.0,activation,subtrees_k3,262144,0.8952932375588056,0.9240198110363433
fresh,additive,50300,initial,17a61e02748aa485c69bdde73560bff130dc93987a4f26817c85e7fef4cca186,0.0,voltage,broadcast_k1,262144,0.6451194272322744,0.6886707918279243
fresh,additive,50300,initial,17a61e02748aa485c69bdde73560bff130dc93987a4f26817c85e7fef4cca186,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50300,initial,17a61e02748aa485c69bdde73560bff130dc93987a4f26817c85e7fef4cca186,0.0,voltage,subtrees_k3,262144,0.7670110139112146,0.7786366897819129
fresh,additive,50300,trained,47c7710db3a91d5662f48bdb0d428b1bf73346413f844b4e17f0bd3dd80c597c,0.0,activation,broadcast_k1,262144,0.7643919617290437,0.847317388071091
fresh,additive,50300,trained,47c7710db3a91d5662f48bdb0d428b1bf73346413f844b4e17f0bd3dd80c597c,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50300,trained,47c7710db3a91d5662f48bdb0d428b1bf73346413f844b4e17f0bd3dd80c597c,0.0,activation,subtrees_k3,262144,0.8583968154997204,0.9401409108032799
fresh,additive,50300,trained,47c7710db3a91d5662f48bdb0d428b1bf73346413f844b4e17f0bd3dd80c597c,0.0,voltage,broadcast_k1,262144,0.519682753713131,0.5825642770360503
fresh,additive,50300,trained,47c7710db3a91d5662f48bdb0d428b1bf73346413f844b4e17f0bd3dd80c597c,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50300,trained,47c7710db3a91d5662f48bdb0d428b1bf73346413f844b4e17f0bd3dd80c597c,0.0,voltage,subtrees_k3,262144,0.7178929457074856,0.7398423456446213
