hierarchy,regime,architecture,mechanism,credit,depth,seed,train_accuracy_clean,valid_accuracy_clean,test_accuracy_clean,train_accuracy_historical,valid_accuracy_historical,test_accuracy_historical,_merge,train_accuracy_difference,train_accuracy_absolute_difference,valid_accuracy_difference,valid_accuracy_absolute_difference,test_accuracy_difference,test_accuracy_absolute_difference
2,aligned,grouped_point,shunting,full_bp,2,10300,0.6675999760627747,0.6563000082969666,0.6583999991416931,0.6675999760627747,0.6563000082969666,0.6583999991416931,both,0.0,0.0,0.0,0.0,0.0,0.0
2,aligned,grouped_point,shunting,full_bp,2,10301,0.6651999950408936,0.6644999980926514,0.6645999550819397,0.6651999950408936,0.6644999980926514,0.6645999550819397,both,0.0,0.0,0.0,0.0,0.0,0.0
2,aligned,grouped_point,shunting,full_bp,2,10302,0.6678999662399292,0.6646999716758728,0.6640999913215637,0.6678999662399292,0.6646999716758728,0.6640999913215637,both,0.0,0.0,0.0,0.0,0.0,0.0
2,aligned,grouped_point,shunting,full_bp,2,10303,0.6693999767303467,0.6620000004768372,0.6606999635696411,0.6690999865531921,0.6613999605178833,0.6597999930381775,both,0.000299990177154541,0.000299990177154541,0.0006000399589538574,0.0006000399589538574,0.000899970531463623,0.000899970531463623
2,aligned,grouped_point,shunting,full_bp,2,10304,0.6645999550819397,0.6538999676704407,0.6578999757766724,0.6645999550819397,0.6541999578475952,0.6574000120162964,both,0.0,0.0,-0.000299990177154541,0.000299990177154541,0.0004999637603759766,0.0004999637603759766
2,aligned,grouped_point,shunting,full_bp,2,10305,0.6649999618530273,0.6574999690055847,0.651199996471405,0.6647999882698059,0.6578999757766724,0.6507999897003174,both,0.00019997358322143555,0.00019997358322143555,-0.0004000067710876465,0.0004000067710876465,0.0004000067710876465,0.0004000067710876465
2,aligned,grouped_point,shunting,full_bp,2,10306,0.6642000079154968,0.6520999670028687,0.6650999784469604,0.6645999550819397,0.6521999835968018,0.6651999950408936,both,-0.0003999471664428711,0.0003999471664428711,-0.00010001659393310547,0.00010001659393310547,-0.00010001659393310547,0.00010001659393310547
2,aligned,grouped_point,shunting,full_bp,2,10307,0.6590999960899353,0.6606999635696411,0.6578999757766724,0.6578999757766724,0.6611999869346619,0.6577999591827393,both,0.0012000203132629395,0.0012000203132629395,-0.000500023365020752,0.000500023365020752,0.00010001659393310547,0.00010001659393310547
2,aligned,grouped_point,shunting,full_bp,2,10308,0.6645999550819397,0.6547999978065491,0.6491000056266785,0.6642999649047852,0.6545000076293945,0.6485999822616577,both,0.000299990177154541,0.000299990177154541,0.000299990177154541,0.000299990177154541,0.000500023365020752,0.000500023365020752
2,aligned,grouped_point,shunting,full_bp,2,10309,0.6620000004768372,0.6478999853134155,0.6636999845504761,0.6620000004768372,0.6480000019073486,0.6639999747276306,both,0.0,0.0,-0.00010001659393310547,0.00010001659393310547,-0.000299990177154541,0.000299990177154541
2,aligned,serial_tree,shunting,full_bp,1,10300,0.6676999926567078,0.6563000082969666,0.65829998254776,0.6678000092506409,0.6561999917030334,0.6581999659538269,both,-0.00010001659393310547,0.00010001659393310547,0.00010001659393310547,0.00010001659393310547,0.00010001659393310547,0.00010001659393310547
2,aligned,serial_tree,shunting,full_bp,1,10301,0.6642999649047852,0.665399968624115,0.6645999550819397,0.6642000079154968,0.6650999784469604,0.6646999716758728,both,9.995698928833008e-05,9.995698928833008e-05,0.000299990177154541,0.000299990177154541,-0.00010001659393310547,0.00010001659393310547
2,aligned,serial_tree,shunting,full_bp,1,10302,0.6678000092506409,0.6646999716758728,0.6631999611854553,0.6687999963760376,0.664900004863739,0.6631999611854553,both,-0.0009999871253967285,0.0009999871253967285,-0.00020003318786621094,0.00020003318786621094,0.0,0.0
2,aligned,serial_tree,shunting,full_bp,1,10303,0.6692999601364136,0.6614999771118164,0.6601999998092651,0.6692000031471252,0.661899983882904,0.659500002861023,both,9.995698928833008e-05,9.995698928833008e-05,-0.0004000067710876465,0.0004000067710876465,0.0006999969482421875,0.0006999969482421875
2,aligned,serial_tree,shunting,full_bp,1,10304,0.6638999581336975,0.6531999707221985,0.6570999622344971,0.6642000079154968,0.6534000039100647,0.6572999954223633,both,-0.0003000497817993164,0.0003000497817993164,-0.00020003318786621094,0.00020003318786621094,-0.00020003318786621094,0.00020003318786621094
2,aligned,serial_tree,shunting,full_bp,1,10305,0.663599967956543,0.6557999849319458,0.6503999829292297,0.6642000079154968,0.6560999751091003,0.6505999565124512,both,-0.0006000399589538574,0.0006000399589538574,-0.000299990177154541,0.000299990177154541,-0.00019997358322143555,0.00019997358322143555
2,aligned,serial_tree,shunting,full_bp,1,10306,0.6638999581336975,0.6523000001907349,0.6638000011444092,0.663100004196167,0.6520000100135803,0.6646999716758728,both,0.0007999539375305176,0.0007999539375305176,0.000299990177154541,0.000299990177154541,-0.000899970531463623,0.000899970531463623
2,aligned,serial_tree,shunting,full_bp,1,10307,0.6581000089645386,0.661799967288971,0.6581000089645386,0.6581999659538269,0.661899983882904,0.6575999855995178,both,-9.995698928833008e-05,9.995698928833008e-05,-0.00010001659393310547,0.00010001659393310547,0.000500023365020752,0.000500023365020752
2,aligned,serial_tree,shunting,full_bp,1,10308,0.6646999716758728,0.6545999646186829,0.649899959564209,0.6644999980926514,0.6538999676704407,0.649899959564209,both,0.00019997358322143555,0.00019997358322143555,0.0006999969482421875,0.0006999969482421875,0.0,0.0
2,aligned,serial_tree,shunting,full_bp,1,10309,0.6602999567985535,0.6481999754905701,0.663100004196167,0.661300003528595,0.6486999988555908,0.6626999974250793,both,-0.001000046730041504,0.001000046730041504,-0.000500023365020752,0.000500023365020752,0.0004000067710876465,0.0004000067710876465
