panel,task,subtree,latent,nominal_leaf_voltage
B,aligned,right,-1.3333333333333333,0.0886851753797703
B,aligned,right,-1.3066666666666666,0.09164772679011146
B,aligned,right,-1.2799999999999998,0.09474762596134886
B,aligned,right,-1.2533333333333334,0.09798999743018741
B,aligned,right,-1.2266666666666666,0.10138003450805402
B,aligned,right,-1.2,0.10492298683405067
B,aligned,right,-1.1733333333333333,0.10862414637365281
B,aligned,right,-1.1466666666666665,0.11248883178705991
B,aligned,right,-1.12,0.11652237109754353
B,aligned,right,-1.0933333333333333,0.12073008259847298
B,aligned,right,-1.0666666666666667,0.12511725394810885
B,aligned,right,-1.04,0.12968911941391734
B,aligned,right,-1.0133333333333332,0.13445083524321164
B,aligned,right,-0.9866666666666666,0.13940745315451697
B,aligned,right,-0.96,0.14456389196426495
B,aligned,right,-0.9333333333333333,0.14992490738631856
B,aligned,right,-0.9066666666666665,0.15549506006741004
B,aligned,right,-0.8799999999999999,0.16127868194979303
B,aligned,right,-0.8533333333333333,0.16727984108313826
B,aligned,right,-0.8266666666666667,0.17350230504073513
B,aligned,right,-0.7999999999999998,0.1799495031301163
B,aligned,right,-0.7733333333333332,0.18662448762489317
B,aligned,right,-0.7466666666666666,0.19352989428240214
B,aligned,right,-0.72,0.2006679024501012
B,aligned,right,-0.6933333333333334,0.20804019510182792
B,aligned,right,-0.6666666666666665,0.21564791918221746
B,aligned,right,-0.6399999999999999,0.2234916466728758
B,aligned,right,-0.6133333333333333,0.23157133682632355
B,aligned,right,-0.5866666666666667,0.2398863000421997
B,aligned,right,-0.5599999999999998,0.24843516388365305
B,aligned,right,-0.5333333333333332,0.25721584174912343
B,aligned,right,-0.5066666666666666,0.2662255047247349
B,aligned,right,-0.48,0.27546055714423284
B,aligned,right,-0.45333333333333314,0.28491661637587096
B,aligned,right,-0.4266666666666665,0.29458849733807013
B,aligned,right,-0.3999999999999999,0.3044702022174322
B,aligned,right,-0.3733333333333333,0.31455491582339923
B,aligned,right,-0.34666666666666646,0.32483500696340484
B,aligned,right,-0.31999999999999984,0.3353020361609457
B,aligned,right,-0.2933333333333332,0.34594676996714624
B,aligned,right,-0.2666666666666666,0.35675920203494516
B,aligned,right,-0.24,0.3677285810352389
B,aligned,right,-0.21333333333333315,0.3788434453977034
B,aligned,right,-0.18666666666666654,0.3900916647574539
B,aligned,right,-0.15999999999999992,0.4014604878843313
B,aligned,right,-0.1333333333333333,0.4129365967667428
B,aligned,right,-0.10666666666666647,0.42450616641915223
B,aligned,right,-0.07999999999999985,0.4361549298840364
B,aligned,right,-0.05333333333333323,0.4478682478079521
B,aligned,right,-0.026666666666666616,0.45963118188969
B,aligned,right,0.0,0.4714285714285714
B,aligned,right,0.02666666666666684,0.48324511214467814
B,aligned,right,0.05333333333333368,0.49506543640177747
B,aligned,right,0.08000000000000007,0.5068741939390666
B,aligned,right,0.10666666666666691,0.5186561322102701
B,aligned,right,0.1333333333333333,0.5303961754382795
B,aligned,right,0.16000000000000014,0.5420795015201092
B,aligned,right,0.18666666666666698,0.5536916159596118
B,aligned,right,0.21333333333333337,0.565218422062948
B,aligned,right,0.2400000000000002,0.5766462867025065
B,aligned,right,0.2666666666666666,0.5879621010368713
B,aligned,right,0.29333333333333345,0.5991533356652733
B,aligned,right,0.3200000000000003,0.6102080897922728
B,aligned,right,0.3466666666666667,0.6211151340797701
B,aligned,right,0.3733333333333335,0.6318639469662592
B,aligned,right,0.40000000000000036,0.6424447443351682
B,aligned,right,0.42666666666666675,0.6528485025129022
B,aligned,right,0.4533333333333336,0.6630669746708087
B,aligned,right,0.48,0.6730927007919784
B,aligned,right,0.5066666666666668,0.6829190114421578
B,aligned,right,0.5333333333333337,0.6925400256529576
B,aligned,right,0.56,0.7019506432842751
B,aligned,right,0.5866666666666669,0.7111465322809356
B,aligned,right,0.6133333333333333,0.7201241112759065
B,aligned,right,0.6400000000000001,0.7288805280192164
B,aligned,right,0.666666666666667,0.7374136341283108
B,aligned,right,0.6933333333333334,0.7457219566626648
B,aligned,right,0.7200000000000002,0.753804667023809
B,aligned,right,0.746666666666667,0.7616615476724444
B,aligned,right,0.7733333333333334,0.7692929571380452
B,aligned,right,0.8000000000000003,0.7766997937742893
B,aligned,right,0.8266666666666667,0.7838834586869062
B,aligned,right,0.8533333333333335,0.7908458182301186
B,aligned,right,0.8800000000000003,0.7975891664347527
B,aligned,right,0.9066666666666667,0.8041161876962638
B,aligned,right,0.9333333333333336,0.8104299200151633
B,aligned,right,0.9600000000000004,0.8165337190464415
B,aligned,right,0.9866666666666668,0.8224312231791637
B,aligned,right,1.0133333333333336,0.8281263198330631
B,aligned,right,1.04,0.8336231131260826
B,aligned,right,1.0666666666666669,0.8389258930358253
B,aligned,right,1.0933333333333337,0.844039106148978
B,aligned,right,1.12,0.8489673280662141
B,aligned,right,1.146666666666667,0.8537152375059315
B,aligned,right,1.1733333333333333,0.8582875921285097
B,aligned,right,1.2000000000000002,0.862689206083575
B,aligned,right,1.226666666666667,0.8669249292659728
B,aligned,right,1.2533333333333334,0.8709996282517013
B,aligned,right,1.2800000000000002,0.8749181688728227
B,aligned,right,1.306666666666667,0.8786854003802061
B,aligned,right,1.3333333333333335,0.8823061411347243
B,aligned,right,1.3600000000000003,0.8857851657610532
B,aligned,right,1.3866666666666667,0.8891271936933415
B,aligned,right,1.4133333333333336,0.8923368790385688
B,aligned,right,1.4400000000000004,0.8954188016812323
B,aligned,right,1.4666666666666668,0.8983774595519112
B,aligned,right,1.4933333333333336,0.9012172619821519
B,aligned,right,1.52,0.9039425240688032
B,aligned,right,1.5466666666666669,0.906557461972314
B,aligned,right,1.5733333333333337,0.9090661890754566
B,aligned,right,1.6,0.9114727129313371
B,aligned,right,1.626666666666667,0.9137809329323263
B,aligned,right,1.6533333333333338,0.9159946386345721
B,aligned,right,1.6800000000000002,0.9181175086759975
B,aligned,right,1.706666666666667,0.9201531102290424
B,aligned,right,1.7333333333333334,0.9221048989328489
B,aligned,right,1.7600000000000002,0.9239762192530422
B,aligned,right,1.786666666666667,0.925770305220705
B,aligned,right,1.8133333333333335,0.927490281505524
B,aligned,right,1.8400000000000003,0.9291391647813968
B,aligned,right,1.8666666666666667,0.9307198653459927
B,aligned,right,1.8933333333333335,0.9322351889588413
B,aligned,right,1.9200000000000004,0.9336878388654735
B,aligned,right,1.9466666666666668,0.9350804179779479
B,aligned,right,1.9733333333333336,0.9364154311847546
B,aligned,right,2.0,0.9376952877655923
B,opposed,left,-2.0,0.046450879223247116
B,opposed,left,-1.9733333333333334,0.04732501271850662
B,opposed,left,-1.9466666666666668,0.04824496311224797
B,opposed,left,-1.92,0.049213004007343825
B,opposed,left,-1.8933333333333333,0.0502315091611325
B,opposed,left,-1.8666666666666667,0.05130295556403201
B,opposed,left,-1.84,0.05242992646125682
B,opposed,left,-1.8133333333333332,0.05361511429530027
B,opposed,left,-1.7866666666666666,0.054861323544299276
B,opposed,left,-1.76,0.0561714734286733
B,opposed,left,-1.7333333333333334,0.05754860045552779
B,opposed,left,-1.7066666666666666,0.058995860767235266
B,opposed,left,-1.68,0.06051653225735904
B,opposed,left,-1.6533333333333333,0.06211401641367509
B,opposed,left,-1.6266666666666667,0.06379183984448793
B,opposed,left,-1.6,0.06555365544074492
B,opposed,left,-1.5733333333333333,0.0674032431226515
B,opposed,left,-1.5466666666666666,0.06934451011560756
B,opposed,left,-1.52,0.07138149069635707
B,opposed,left,-1.4933333333333332,0.0735183453463125
B,opposed,left,-1.4666666666666668,0.0757593592451358
B,opposed,left,-1.44,0.07810894003388784
B,opposed,left,-1.4133333333333333,0.08057161477347193
B,opposed,left,-1.3866666666666667,0.08315202602077533
B,opposed,left,-1.3599999999999999,0.0858549269419493
B,opposed,left,-1.3333333333333333,0.0886851753797703
B,opposed,left,-1.3066666666666666,0.09164772679011146
B,opposed,left,-1.2799999999999998,0.09474762596134886
B,opposed,left,-1.2533333333333334,0.09798999743018741
B,opposed,left,-1.2266666666666666,0.10138003450805402
B,opposed,left,-1.2,0.10492298683405067
B,opposed,left,-1.1733333333333333,0.10862414637365281
B,opposed,left,-1.1466666666666665,0.11248883178705991
B,opposed,left,-1.12,0.11652237109754353
B,opposed,left,-1.0933333333333333,0.12073008259847298
B,opposed,left,-1.0666666666666667,0.12511725394810885
B,opposed,left,-1.04,0.12968911941391734
B,opposed,left,-1.0133333333333332,0.13445083524321164
B,opposed,left,-0.9866666666666666,0.13940745315451697
B,opposed,left,-0.96,0.14456389196426495
B,opposed,left,-0.9333333333333333,0.14992490738631856
B,opposed,left,-0.9066666666666665,0.15549506006741004
B,opposed,left,-0.8799999999999999,0.16127868194979303
B,opposed,left,-0.8533333333333333,0.16727984108313826
B,opposed,left,-0.8266666666666667,0.17350230504073513
B,opposed,left,-0.7999999999999998,0.1799495031301163
B,opposed,left,-0.7733333333333332,0.18662448762489317
B,opposed,left,-0.7466666666666666,0.19352989428240214
B,opposed,left,-0.72,0.2006679024501012
B,opposed,left,-0.6933333333333334,0.20804019510182792
B,opposed,left,-0.6666666666666665,0.21564791918221746
B,opposed,left,-0.6399999999999999,0.2234916466728758
B,opposed,left,-0.6133333333333333,0.23157133682632355
B,opposed,left,-0.5866666666666667,0.2398863000421997
B,opposed,left,-0.5599999999999998,0.24843516388365305
B,opposed,left,-0.5333333333333332,0.25721584174912343
B,opposed,left,-0.5066666666666666,0.2662255047247349
B,opposed,left,-0.48,0.27546055714423284
B,opposed,left,-0.45333333333333314,0.28491661637587096
B,opposed,left,-0.4266666666666665,0.29458849733807013
B,opposed,left,-0.3999999999999999,0.3044702022174322
B,opposed,left,-0.3733333333333333,0.31455491582339923
B,opposed,left,-0.34666666666666646,0.32483500696340484
B,opposed,left,-0.31999999999999984,0.3353020361609457
B,opposed,left,-0.2933333333333332,0.34594676996714624
B,opposed,left,-0.2666666666666666,0.35675920203494516
B,opposed,left,-0.24,0.3677285810352389
B,opposed,left,-0.21333333333333315,0.3788434453977034
B,opposed,left,-0.18666666666666654,0.3900916647574539
B,opposed,left,-0.15999999999999992,0.4014604878843313
B,opposed,left,-0.1333333333333333,0.4129365967667428
B,opposed,left,-0.10666666666666647,0.42450616641915223
B,opposed,left,-0.07999999999999985,0.4361549298840364
B,opposed,left,-0.05333333333333323,0.4478682478079521
B,opposed,left,-0.026666666666666616,0.45963118188969
B,opposed,left,0.0,0.4714285714285714
B,opposed,left,0.02666666666666684,0.48324511214467814
B,opposed,left,0.05333333333333368,0.49506543640177747
B,opposed,left,0.08000000000000007,0.5068741939390666
B,opposed,left,0.10666666666666691,0.5186561322102701
B,opposed,left,0.1333333333333333,0.5303961754382795
B,opposed,left,0.16000000000000014,0.5420795015201092
B,opposed,left,0.18666666666666698,0.5536916159596118
B,opposed,left,0.21333333333333337,0.565218422062948
B,opposed,left,0.2400000000000002,0.5766462867025065
B,opposed,left,0.2666666666666666,0.5879621010368713
B,opposed,left,0.29333333333333345,0.5991533356652733
B,opposed,left,0.3200000000000003,0.6102080897922728
B,opposed,left,0.3466666666666667,0.6211151340797701
B,opposed,left,0.3733333333333335,0.6318639469662592
B,opposed,left,0.40000000000000036,0.6424447443351682
B,opposed,left,0.42666666666666675,0.6528485025129022
B,opposed,left,0.4533333333333336,0.6630669746708087
B,opposed,left,0.48,0.6730927007919784
B,opposed,left,0.5066666666666668,0.6829190114421578
B,opposed,left,0.5333333333333337,0.6925400256529576
B,opposed,left,0.56,0.7019506432842751
B,opposed,left,0.5866666666666669,0.7111465322809356
B,opposed,left,0.6133333333333333,0.7201241112759065
B,opposed,left,0.6400000000000001,0.7288805280192164
B,opposed,left,0.666666666666667,0.7374136341283108
B,opposed,left,0.6933333333333334,0.7457219566626648
B,opposed,left,0.7200000000000002,0.753804667023809
B,opposed,left,0.746666666666667,0.7616615476724444
B,opposed,left,0.7733333333333334,0.7692929571380452
B,opposed,left,0.8000000000000003,0.7766997937742893
B,opposed,left,0.8266666666666667,0.7838834586869062
B,opposed,left,0.8533333333333335,0.7908458182301186
B,opposed,left,0.8800000000000003,0.7975891664347527
B,opposed,left,0.9066666666666667,0.8041161876962638
B,opposed,left,0.9333333333333336,0.8104299200151633
B,opposed,left,0.9600000000000004,0.8165337190464415
B,opposed,left,0.9866666666666668,0.8224312231791637
B,opposed,left,1.0133333333333336,0.8281263198330631
B,opposed,left,1.04,0.8336231131260826
B,opposed,left,1.0666666666666669,0.8389258930358253
B,opposed,left,1.0933333333333337,0.844039106148978
B,opposed,left,1.12,0.8489673280662141
B,opposed,left,1.146666666666667,0.8537152375059315
B,opposed,left,1.1733333333333333,0.8582875921285097
B,opposed,left,1.2000000000000002,0.862689206083575
B,opposed,left,1.226666666666667,0.8669249292659728
B,opposed,left,1.2533333333333334,0.8709996282517013
B,opposed,left,1.2800000000000002,0.8749181688728227
B,opposed,left,1.306666666666667,0.8786854003802061
B,opposed,left,1.3333333333333335,0.8823061411347243
B,opposed,left,1.3600000000000003,0.8857851657610532
B,opposed,left,1.3866666666666667,0.8891271936933415
B,opposed,left,1.4133333333333336,0.8923368790385688
B,opposed,left,1.4400000000000004,0.8954188016812323
B,opposed,left,1.4666666666666668,0.8983774595519112
B,opposed,left,1.4933333333333336,0.9012172619821519
B,opposed,left,1.52,0.9039425240688032
B,opposed,left,1.5466666666666669,0.906557461972314
B,opposed,left,1.5733333333333337,0.9090661890754566
B,opposed,left,1.6,0.9114727129313371
B,opposed,left,1.626666666666667,0.9137809329323263
B,opposed,left,1.6533333333333338,0.9159946386345721
B,opposed,left,1.6800000000000002,0.9181175086759975
B,opposed,left,1.706666666666667,0.9201531102290424
B,opposed,left,1.7333333333333334,0.9221048989328489
B,opposed,left,1.7600000000000002,0.9239762192530422
B,opposed,left,1.786666666666667,0.925770305220705
B,opposed,left,1.8133333333333335,0.927490281505524
B,opposed,left,1.8400000000000003,0.9291391647813968
B,opposed,left,1.8666666666666667,0.9307198653459927
B,opposed,left,1.8933333333333335,0.9322351889588413
B,opposed,left,1.9200000000000004,0.9336878388654735
B,opposed,left,1.9466666666666668,0.9350804179779479
B,opposed,left,1.9733333333333336,0.9364154311847546
B,opposed,left,2.0,0.9376952877655923
B,opposed,right,-2.0,0.9376952877655923
B,opposed,right,-1.9733333333333334,0.9364154311847546
B,opposed,right,-1.9466666666666668,0.9350804179779479
B,opposed,right,-1.92,0.9336878388654735
B,opposed,right,-1.8933333333333333,0.9322351889588413
B,opposed,right,-1.8666666666666667,0.9307198653459927
B,opposed,right,-1.84,0.9291391647813968
B,opposed,right,-1.8133333333333332,0.927490281505524
B,opposed,right,-1.7866666666666666,0.925770305220705
B,opposed,right,-1.76,0.9239762192530422
B,opposed,right,-1.7333333333333334,0.9221048989328489
B,opposed,right,-1.7066666666666666,0.9201531102290424
B,opposed,right,-1.68,0.9181175086759975
B,opposed,right,-1.6533333333333333,0.9159946386345721
B,opposed,right,-1.6266666666666667,0.9137809329323262
B,opposed,right,-1.6,0.9114727129313371
B,opposed,right,-1.5733333333333333,0.9090661890754566
B,opposed,right,-1.5466666666666666,0.9065574619723139
B,opposed,right,-1.52,0.9039425240688032
B,opposed,right,-1.4933333333333332,0.9012172619821518
B,opposed,right,-1.4666666666666668,0.8983774595519112
B,opposed,right,-1.44,0.8954188016812322
B,opposed,right,-1.4133333333333333,0.8923368790385688
B,opposed,right,-1.3866666666666667,0.8891271936933415
B,opposed,right,-1.3599999999999999,0.8857851657610532
B,opposed,right,-1.3333333333333333,0.8823061411347243
B,opposed,right,-1.3066666666666666,0.878685400380206
B,opposed,right,-1.2799999999999998,0.8749181688728227
B,opposed,right,-1.2533333333333334,0.8709996282517013
B,opposed,right,-1.2266666666666666,0.8669249292659728
B,opposed,right,-1.2,0.862689206083575
B,opposed,right,-1.1733333333333333,0.8582875921285097
B,opposed,right,-1.1466666666666665,0.8537152375059315
B,opposed,right,-1.12,0.8489673280662141
B,opposed,right,-1.0933333333333333,0.8440391061489779
B,opposed,right,-1.0666666666666667,0.8389258930358253
B,opposed,right,-1.04,0.8336231131260826
B,opposed,right,-1.0133333333333332,0.828126319833063
B,opposed,right,-0.9866666666666666,0.8224312231791636
B,opposed,right,-0.96,0.8165337190464413
B,opposed,right,-0.9333333333333333,0.8104299200151632
B,opposed,right,-0.9066666666666665,0.8041161876962637
B,opposed,right,-0.8799999999999999,0.7975891664347526
B,opposed,right,-0.8533333333333333,0.7908458182301185
B,opposed,right,-0.8266666666666667,0.7838834586869062
B,opposed,right,-0.7999999999999998,0.7766997937742891
B,opposed,right,-0.7733333333333332,0.7692929571380452
B,opposed,right,-0.7466666666666666,0.7616615476724443
B,opposed,right,-0.72,0.753804667023809
B,opposed,right,-0.6933333333333334,0.7457219566626648
B,opposed,right,-0.6666666666666665,0.7374136341283106
B,opposed,right,-0.6399999999999999,0.7288805280192163
B,opposed,right,-0.6133333333333333,0.7201241112759065
B,opposed,right,-0.5866666666666667,0.7111465322809354
B,opposed,right,-0.5599999999999998,0.7019506432842751
B,opposed,right,-0.5333333333333332,0.6925400256529576
B,opposed,right,-0.5066666666666666,0.6829190114421577
B,opposed,right,-0.48,0.6730927007919784
B,opposed,right,-0.45333333333333314,0.6630669746708083
B,opposed,right,-0.4266666666666665,0.6528485025129022
B,opposed,right,-0.3999999999999999,0.6424447443351682
B,opposed,right,-0.3733333333333333,0.6318639469662591
B,opposed,right,-0.34666666666666646,0.62111513407977
B,opposed,right,-0.31999999999999984,0.6102080897922726
B,opposed,right,-0.2933333333333332,0.5991533356652732
B,opposed,right,-0.2666666666666666,0.5879621010368713
B,opposed,right,-0.24,0.5766462867025065
B,opposed,right,-0.21333333333333315,0.565218422062948
B,opposed,right,-0.18666666666666654,0.5536916159596116
B,opposed,right,-0.15999999999999992,0.542079501520109
B,opposed,right,-0.1333333333333333,0.5303961754382795
B,opposed,right,-0.10666666666666647,0.51865613221027
B,opposed,right,-0.07999999999999985,0.5068741939390665
B,opposed,right,-0.05333333333333323,0.4950654364017773
B,opposed,right,-0.026666666666666616,0.4832451121446781
B,opposed,right,0.0,0.4714285714285714
B,opposed,right,0.02666666666666684,0.4596311818896899
B,opposed,right,0.05333333333333368,0.4478682478079519
B,opposed,right,0.08000000000000007,0.4361549298840364
B,opposed,right,0.10666666666666691,0.42450616641915206
B,opposed,right,0.1333333333333333,0.4129365967667428
B,opposed,right,0.16000000000000014,0.4014604878843313
B,opposed,right,0.18666666666666698,0.39009166475745377
B,opposed,right,0.21333333333333337,0.3788434453977033
B,opposed,right,0.2400000000000002,0.36772858103523887
B,opposed,right,0.2666666666666666,0.35675920203494516
B,opposed,right,0.29333333333333345,0.3459467699671462
B,opposed,right,0.3200000000000003,0.3353020361609455
B,opposed,right,0.3466666666666667,0.32483500696340467
B,opposed,right,0.3733333333333335,0.3145549158233992
