task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,checkpoint,test_loss,penalized_test_loss,weight_norm
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,16,6.000461965002781e-06,0.013905347720540868,0.997312921395275
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,16,6.0004619650027795e-06,0.023905347720540867,0.997312921395275
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,16,6.0004619650027795e-06,0.04390534772054087,0.997312921395275
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,16,6.0004619650027795e-06,0.08390534772054085,0.997312921395275
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_interleaved_k1,balanced_interleaved,balanced,1,0.19088469787505546,0.125,0.6588469787505544,64,64,8,16,6.000461965002781e-06,0.01527677629196944,0.997312921395275
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_interleaved_k2,balanced_interleaved,balanced,2,0.31588469787505546,0.25,0.6588469787505544,64,64,16,16,6.0004619650027795e-06,0.025276776291969442,0.997312921395275
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_interleaved_k4,balanced_interleaved,balanced,4,0.5658846978750555,0.5,0.6588469787505544,64,64,32,16,6.0004619650027795e-06,0.04527677629196944,0.997312921395275
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_interleaved_k8,balanced_interleaved,balanced,8,1.0658846978750554,1.0,0.6588469787505544,64,64,64,16,6.0004619650027795e-06,0.08527677629196943,0.997312921395275
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_a_k1,balanced_permutation_a,balanced,1,0.18899250811836066,0.125,0.6399250811836067,64,64,8,16,6.000461965002781e-06,0.015125401111433857,0.997312921395275
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2,0.31399250811836066,0.25,0.6399250811836067,64,64,16,16,6.0004619650027795e-06,0.025125401111433857,0.997312921395275
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_a_k4,balanced_permutation_a,balanced,4,0.5639925081183607,0.5,0.6399250811836067,64,64,32,16,6.0004619650027795e-06,0.04512540111143385,0.997312921395275
