stage,index,architecture,arm,multiplier,seed,test_accuracy,test_cross_entropy,validation_cross_entropy,selection_validation_loss,best_epoch,final_epoch_valid_loss,epochs,initialized_model_sha256,initialized_core_sha256,final_core_sha256,final_model_sha256,decoder_only_core_unchanged,total_parameters,active_synapses,runtime_commit,elapsed_seconds,execution_stage,rate_policy
fresh,10,shunting,strict_scalar,3.0,50300,0.8675000071525574,0.4743216335773468,0.47106224298477173,0.47106228001912437,64,0.49194224246342977,180,18e643254f01cad3414b508b3b80152de051aec9cc36a1929818663ae8cf00f7,efc6ac1240c12dd1c6d735684ffe203b045c62528ca8db863b0a37a508533077,5bbb8dbfadbf6e4df60e36c8c2b88a1f294530ea21ca6b810bedb33c964f3516,df52efdf043824ca5b9ae3b4ff32598a1f38e06eee658054f49e5effba821bbe,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,230.0093585359864,,selected
fresh,11,shunting,strict_scalar,3.0,50301,0.8763999938964844,0.45893821120262146,0.4669245481491089,0.466924604177475,179,0.47237257806460065,180,df80e605c54913f9a4292defd442f450fcaa737305d521f5d2db8640a5c07892,6d1b2f33d89285822ca4f8bd12e31254ad64365844216d5560887d5c8516e21e,d917c497216862b38044bd36019af1f5a1781785500a6e309d11249d7ac44fc8,292c61db5b549a12f63583a781b7d1f436b297be9ad48e73387bcff77f41217c,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,234.38809727900662,,selected
fresh,12,shunting,strict_scalar,3.0,50302,0.8867999911308289,0.4308947026729584,0.43398839235305786,0.4339883812268575,157,0.4415600601832072,180,008284e706b586d5b411e3141773a5cc7c7bcb35f0c5c3ac3ba604ea90fb2119,51c88895cad28c6fbd3e8741d8ff295d4b1465a898e7f2038239a0afec6de6eb,f0997e8ed6233ba3d93e499052532ac861895a3e0e33559df0a92c789b745997,0b9c27bc9d957a0d4bb114d0a618e3eed32b80513ed94b26d1620d2207ae16e2,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,233.0481313149212,,selected
fresh,13,shunting,strict_scalar,3.0,50303,0.896399974822998,0.36495471000671387,0.38888803124427795,0.38888802397251127,64,0.4062947629292806,180,a24678286959651fb8682a48ff022b088727eb4f398e423411d740c3c49c05f9,5118ad459713239569287c9e6fe0d21750baec6f4c122be4c464a9084e23cbc9,1f74770239eb7f719becbc72b051f396947efb5df22644b7725b9fd926dccfae,080351cead2b617b7c90862790d0de2c6a42e21352962a92a1b5f2025172ca2f,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,230.96159055200405,,selected
fresh,14,shunting,strict_scalar,3.0,50304,0.887999951839447,0.39990711212158203,0.41000667214393616,0.41000665974617007,161,0.42178211839993796,180,65b226df48a5fefdf60578d18274473764a03d56a75e0db564e9a13aba8a583f,782200c8f1bd856e5b3330f928a574670f9a14bd9fe611859cff39f34e020518,203816e13624473871fd68edc13c3367afb6c52c2bbde7f148e238f02e8298d7,32cd0e705e4294f7691cf66276688fd4fa14862cbf1146155d5f0059b498d49c,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,239.18168620101642,,selected
fresh,15,shunting,strict_scalar,3.0,50305,0.8726999759674072,0.4336870014667511,0.4540084898471832,0.45400851051012675,177,0.46083371599515277,180,90f62c5bd1b18f546c4bf9b9029244de91ea71ae1f7c98022eaddf0915613f81,d35efa6aecdb7bcad8cecc1f7134ebb30a6ffde79a745cd42a8a50fe97f24712,eca45a845bac8cc4f7c162e696afef560810247ea59e1625ad37517a791de0ac,945b1b0a30e3b856cc901158329b4c54438f844da7f8d10a6af8f3280889ef44,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,230.75116390606854,,selected
fresh,16,shunting,strict_scalar,3.0,50306,0.868399977684021,0.45540422201156616,0.4631517827510834,0.4631517905394236,107,0.49169927517573037,180,4cc0e29dc0113a548bb932848af5f13fd4b9e9a70a010f6f144c1bc02426b6b0,3db71d78500557117db228d48c7ef0f00f78b846484000e629bf005b113f67e4,225c80acfb7af6e22d82f3a68aed05187c29510bf617e3b233495f06aa20b599,610f9906e70fc280fdb7e165d645256b42297963949394aed8c7ecb5b1a89a77,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,267.03275876201224,,selected
fresh,17,shunting,strict_scalar,3.0,50307,0.8752999901771545,0.43117842078208923,0.4340084195137024,0.43400841069221496,87,0.44449695555369056,180,47f2e4599e79a253ef09924d823903706f4fbc20f32e9e12a6aba9bcc06cd223,f962b9e618459200f10d2c96c91a8ec71ebc51fa226952b2fa71dadd79fea773,6bc63514fa5e1528bea4d048b92e8abfda90ee10b22978bfd1fa296f146f1367,d53e7df209291694fbc517fbd66b166986abdb988ecec786c2f51417f2091778,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,311.60688458697405,,selected
fresh,18,shunting,strict_scalar,3.0,50308,0.8693999648094177,0.4766019880771637,0.4833011031150818,0.48330109477043154,157,0.5060711437066396,180,de9c7ea5b8e0a5bacb070f2e388bf2bdaad9068f73bd9ebc5c5765c4950947ad,8d44514ef8822f5846b8f9b7c00d1285ab895ae2b8948a5806a4ee05f745ce54,8fcb21674bc23f3b2163b176928f82bacbf65ac3750c5a6b6a1439811413c810,01a9c9387958d583132e089e5d293c33c7dd18e8339d6bfa0e12c25b899615f1,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,257.2724128920818,,selected
fresh,19,shunting,strict_scalar,3.0,50309,0.8884999752044678,0.43521180748939514,0.4067990779876709,0.4067991020679474,116,0.4269700370629628,180,4c05196f3955a0101a16d21941617a82efeb56f2eff4afa71bba95e3da480eb3,3d7370bfb3014bd67e0f63fa2f18c25ee7153e135dae2b29f3341ee28cb5dcbc,c6888ec7d775780f2943aa1cc8d12019e4bbac08dcfe92084956bf493cb53fe7,5fd8ef2af7e2405472ab30c95ac6ed44802fff7a2bcfa1c8effe58838c7c74c6,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,275.6687150549842,,selected
