seed,branches,conflict_probability,epoch,condition,state_comparison,gradient_cosine,signed_signal_ratio,gradient_inner_product
11000,2,0,0,neuron_shared_k1,own_state,0.999170124531,0.998340904713,0.383362770081
11000,2,0,0,neuron_shared_k1,common_exact_state,0.999170124531,0.998340904713,0.383362770081
11000,2,0,0,correct_path,own_state,1,1,0.383999854326
11000,2,0,0,correct_path,common_exact_state,1,1,0.383999854326
11000,2,0,0,within_neuron_deranged,own_state,0.99668186903,0.996681928635,0.382725715637
11000,2,0,0,within_neuron_deranged,common_exact_state,0.99668186903,0.996681928635,0.382725715637
11000,2,0,0,backpropagation,own_state,1,1,0.383999854326
11000,2,0,0,backpropagation,common_exact_state,1,1,0.383999854326
11000,2,0,0,gated_point_emulation,own_state,1,1,0.383999854326
11000,2,0,0,gated_point_emulation,common_exact_state,1,1,0.383999854326
11000,2,0,1,neuron_shared_k1,own_state,0.999128699303,0.998258173466,0.354226380587
11000,2,0,1,neuron_shared_k1,common_exact_state,0.99915856123,0.99831789732,0.354206979275
11000,2,0,1,correct_path,own_state,1,1,0.354803800583
11000,2,0,1,correct_path,common_exact_state,1,1,0.354803800583
11000,2,0,1,within_neuron_deranged,own_state,0.99639248848,0.99639248848,0.353605747223
11000,2,0,1,within_neuron_deranged,common_exact_state,0.99663579464,0.99663579464,0.353610157967
11000,2,0,1,backpropagation,own_state,1,1,0.354803800583
11000,2,0,1,backpropagation,common_exact_state,1,1,0.354803800583
11000,2,0,1,gated_point_emulation,own_state,1,1,0.354803800583
11000,2,0,1,gated_point_emulation,common_exact_state,1,1,0.354803800583
11000,2,0,10,neuron_shared_k1,own_state,0.998664259911,0.99733042717,0.18267968297
11000,2,0,10,neuron_shared_k1,common_exact_state,0.999036550522,0.998073935509,0.18257920444
11000,2,0,10,correct_path,own_state,1,1,0.182931542397
11000,2,0,10,correct_path,common_exact_state,1,1,0.182931542397
11000,2,0,10,within_neuron_deranged,own_state,0.991072177887,0.991072177887,0.181998342276
11000,2,0,10,within_neuron_deranged,common_exact_state,0.996147871017,0.996147871017,0.182226866484
11000,2,0,10,backpropagation,own_state,1,1,0.182931542397
11000,2,0,10,backpropagation,common_exact_state,1,1,0.182931542397
11000,2,0,10,gated_point_emulation,own_state,1,1,0.182931542397
11000,2,0,10,gated_point_emulation,common_exact_state,1,1,0.182931542397
11000,2,0,50,neuron_shared_k1,own_state,0.99380081892,0.98764026165,0.0273414049298
11000,2,0,50,neuron_shared_k1,common_exact_state,0.997437477112,0.994881629944,0.027320086956
11000,2,0,50,correct_path,own_state,1,1,0.0274606402963
11000,2,0,50,correct_path,common_exact_state,1,1,0.0274606402963
11000,2,0,50,within_neuron_deranged,own_state,-0.471915185452,-0.471915185452,-0.0559917911887
11000,2,0,50,within_neuron_deranged,common_exact_state,0.989763140678,0.989763200283,0.0271795317531
11000,2,0,50,backpropagation,own_state,1,1,0.0274606402963
11000,2,0,50,backpropagation,common_exact_state,1,1,0.0274606402963
11000,2,0,50,gated_point_emulation,own_state,1,1,0.0274606402963
11000,2,0,50,gated_point_emulation,common_exact_state,1,1,0.0274606402963
11000,2,0,100,neuron_shared_k1,own_state,0.979929625988,0.96026211977,0.00771197210997
11000,2,0,100,neuron_shared_k1,common_exact_state,0.994288384914,0.988609313965,0.00770658953115
11000,2,0,100,correct_path,own_state,1,1,0.00779538415372
11000,2,0,100,correct_path,common_exact_state,1,1,0.00779538415372
11000,2,0,100,within_neuron_deranged,own_state,-0.787372887135,-0.787372887135,-1.25473046303
11000,2,0,100,within_neuron_deranged,common_exact_state,0.977218687534,0.977218687534,0.00761779490858
11000,2,0,100,backpropagation,own_state,1,1,0.00779538415372
11000,2,0,100,backpropagation,common_exact_state,1,1,0.00779538415372
11000,2,0,100,gated_point_emulation,own_state,1,1,0.00779538415372
11000,2,0,100,gated_point_emulation,common_exact_state,1,1,0.00779538415372
11000,2,0,250,neuron_shared_k1,own_state,0.912437856197,0.832542836666,0.00150021561421
11000,2,0,250,neuron_shared_k1,common_exact_state,0.98352599144,0.967323422432,0.00149207946379
11000,2,0,250,correct_path,own_state,1,1,0.00154248252511
11000,2,0,250,correct_path,common_exact_state,1,1,0.00154248252511
11000,2,0,250,within_neuron_deranged,own_state,-0.740066587925,-0.740066587925,-1.410795331
11000,2,0,250,within_neuron_deranged,common_exact_state,0.93464666605,0.93464666605,0.00144167616963
11000,2,0,250,backpropagation,own_state,1,1,0.00154248252511
11000,2,0,250,backpropagation,common_exact_state,1,1,0.00154248252511
11000,2,0,250,gated_point_emulation,own_state,1,1,0.00154248252511
11000,2,0,250,gated_point_emulation,common_exact_state,1,1,0.00154248252511
11000,2,0.25,0,neuron_shared_k1,own_state,0.99902510643,0.742413282394,0.285086601973
11000,2,0.25,0,neuron_shared_k1,common_exact_state,0.99902510643,0.742413282394,0.285086601973
11000,2,0.25,0,correct_path,own_state,1,1,0.383999854326
11000,2,0.25,0,correct_path,common_exact_state,1,1,0.383999854326
11000,2,0.25,0,within_neuron_deranged,own_state,0.990966439247,0.484826683998,0.186173379421
11000,2,0.25,0,within_neuron_deranged,common_exact_state,0.990966439247,0.484826683998,0.186173379421
11000,2,0.25,0,backpropagation,own_state,1,1,0.383999854326
11000,2,0.25,0,backpropagation,common_exact_state,1,1,0.383999854326
11000,2,0.25,0,gated_point_emulation,own_state,1,1,0.383999854326
11000,2,0.25,0,gated_point_emulation,common_exact_state,1,1,0.383999854326
11000,2,0.25,1,neuron_shared_k1,own_state,0.998962759972,0.740245521069,0.268166393042
11000,2,0.25,1,neuron_shared_k1,common_exact_state,0.998956441879,0.739498734474,0.262376964092
