cohort,seed,family,step,structure,optimizer,rate,rule,dictionary,channels,is_projection,population_nmse,sites,field_energy_fidelity,mean_per_example_fidelity,error_weighted_energy_fidelity,nonzero_field_examples,eligibility_weighted_update_fidelity,population_gradient_cosine_nonroot,population_gradient_cosine_full,population_gradient_relative_error_nonroot,population_gradient_norm_nonroot
frozen_algebraic_replay,127207,matching,0,compatible,sgd,0.03,subtree_projection,ancestry_K6,6,True,1.431168502088212,6,1.0,1.0,1.0,256,1.0,1.0,1.0000000000000002,1.404426540029442e-15,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,sgd,0.03,shuffled_projection,unit_broadcast_fixed,1,False,1.431168502088212,6,-0.8643056345926381,-0.9830708834011319,-0.8667736541403803,256,-1.0391841874940173,0.3479847716162063,0.41171062428472527,1.20894123137045,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,sgd,0.03,shuffled_projection,initial_mean_fixed,1,False,1.431168502088212,6,0.8337140035202675,0.8242119120194107,0.8386457606086554,256,0.820968782349101,0.9476631130524534,0.9533120512029616,0.3226218010544783,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,sgd,0.03,shuffled_projection,initial_mean_projection,1,True,1.431168502088212,6,0.8507693606979784,0.8425382532980983,0.8547044616935354,256,0.8420251683333172,0.9536893248524889,0.9587208752944132,0.30271737031275026,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,sgd,0.03,shuffled_projection,best_fixed_rank1_q,1,True,1.431168502088212,6,0.852270253633622,0.8390884963757437,0.8565285227077819,256,0.8441119776959461,0.9563262434098848,0.9610268166614696,0.2952694265634216,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,sgd,0.03,shuffled_projection,best_fixed_rank1_error,1,True,1.431168502088212,6,0.8499909093962391,0.8363839841243061,0.8588405111871028,256,0.8465288191786126,0.9580199516396751,0.9625590792207939,0.2889216333275723,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,sgd,0.03,shuffled_projection,uniform_projection,1,True,1.431168502088212,6,0.14885822480118882,0.13958059376208107,0.13274560573844363,256,0.09704113056220154,0.3709256226251247,0.4763379676101523,0.9323613686552487,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,sgd,0.03,shuffled_projection,ancestry_K2,2,True,1.431168502088212,6,0.30035013864922655,0.28174922408442205,0.266744041559414,256,0.2481485721368848,0.507399501991538,0.5806066730818538,0.8624220570602663,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,sgd,0.03,shuffled_projection,ancestry_K3,3,True,1.431168502088212,6,0.36424492542388087,0.35012833282569067,0.34408928702725394,256,0.316097878113759,0.5559150386530461,0.6190325570049053,0.8319282048540383,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,sgd,0.03,shuffled_projection,ancestry_K4,4,True,1.431168502088212,6,0.4473958761836485,0.4429697452030964,0.4100936209645454,256,0.3721076673865329,0.5648858041863953,0.6262723393618823,0.8257814081803629,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,sgd,0.03,shuffled_projection,ancestry_K5,5,True,1.431168502088212,6,0.5363195292705809,0.5178720729138868,0.5065632217243662,256,0.49483157186618987,0.6062521233994561,0.6600757175776193,0.7953019454070241,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,sgd,0.03,shuffled_projection,ancestry_K6,6,True,1.431168502088212,6,1.0,1.0,1.0,256,1.0,1.0,1.0000000000000002,1.404426540029442e-15,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,adam,0.003,broadcast,unit_broadcast_fixed,1,False,1.431168502088212,6,-0.8643056345926381,-0.9830708834011319,-0.8667736541403803,256,-1.0391841874940173,0.3479847716162063,0.41171062428472527,1.20894123137045,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,adam,0.003,broadcast,initial_mean_fixed,1,False,1.431168502088212,6,0.8337140035202675,0.8242119120194107,0.8386457606086554,256,0.820968782349101,0.9476631130524534,0.9533120512029616,0.3226218010544783,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,adam,0.003,broadcast,initial_mean_projection,1,True,1.431168502088212,6,0.8507693606979784,0.8425382532980983,0.8547044616935354,256,0.8420251683333172,0.9536893248524889,0.9587208752944132,0.30271737031275026,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,adam,0.003,broadcast,best_fixed_rank1_q,1,True,1.431168502088212,6,0.852270253633622,0.8390884963757437,0.8565285227077819,256,0.8441119776959461,0.9563262434098848,0.9610268166614696,0.2952694265634216,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,adam,0.003,broadcast,best_fixed_rank1_error,1,True,1.431168502088212,6,0.8499909093962391,0.8363839841243061,0.8588405111871028,256,0.8465288191786126,0.9580199516396751,0.9625590792207939,0.2889216333275723,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,adam,0.003,broadcast,uniform_projection,1,True,1.431168502088212,6,0.14885822480118882,0.13958059376208107,0.13274560573844363,256,0.09704113056220154,0.3709256226251247,0.4763379676101523,0.9323613686552487,1.2704417812781423
frozen_algebraic_replay,127207,matching,0,compatible,adam,0.003,broadcast,ancestry_K2,2,True,1.431168502088212,6,0.30035013864922655,0.28174922408442205,0.266744041559414,256,0.2481485721368848,0.507399501991538,0.5806066730818538,0.8624220570602663,1.2704417812781423
