model,epoch,heldout_loss,heldout_accuracy,gradient_cosine_own_state,seed,calibration_samples,cue_noise_sd,cue_delay_trials,method,coefficient_group_accuracy,coefficient_target_mse,maximum_route_norm_error
0,0,0.695677110424,0.49072265625,0.974674790329,52000,16,0,0,oracle_context,1,0,0
1,0,0.695677110424,0.49072265625,0.974674790329,52000,16,0,0,learned_local_cue,1,0,0
2,0,0.695677110424,0.49072265625,-0.959662951778,52000,16,0,0,frozen_profile,0.25,0.1875,0
3,0,0.695677110424,0.49072265625,-0.935747711062,52000,16,0,0,mismatched_encoder,0,0.5,0
4,0,0.695677110424,0.49072265625,0.974674790329,52000,16,0,1,oracle_context,1,0,0
5,0,0.695677110424,0.49072265625,-0.909140371278,52000,16,0,1,learned_local_cue,0.25244140625,0.373779296875,0
6,0,0.695677110424,0.49072265625,-0.959662951778,52000,16,0,1,frozen_profile,0.25,0.1875,0
7,0,0.695677110424,0.49072265625,-0.916169206548,52000,16,0,1,mismatched_encoder,0.2470703125,0.37646484375,0
8,0,0.695677110424,0.49072265625,0.974674790329,52000,16,0,4,oracle_context,1,0,0
9,0,0.695677110424,0.49072265625,-0.922328409654,52000,16,0,4,learned_local_cue,0.24951171875,0.375244140625,0
10,0,0.695677110424,0.49072265625,-0.959662951778,52000,16,0,4,frozen_profile,0.25,0.1875,0
11,0,0.695677110424,0.49072265625,-0.927772115488,52000,16,0,4,mismatched_encoder,0.2578125,0.37109375,0
12,0,0.695677110424,0.49072265625,0.974674790329,52000,64,0,0,oracle_context,1,0,0
13,0,0.695677110424,0.49072265625,0.974674790329,52000,64,0,0,learned_local_cue,1,0,0
14,0,0.695677110424,0.49072265625,-0.959662951778,52000,64,0,0,frozen_profile,0.25,0.1875,0
15,0,0.695677110424,0.49072265625,-0.935747711062,52000,64,0,0,mismatched_encoder,0,0.5,0
16,0,0.695677110424,0.49072265625,0.974674790329,52000,64,0,1,oracle_context,1,0,0
17,0,0.695677110424,0.49072265625,-0.909140371278,52000,64,0,1,learned_local_cue,0.25244140625,0.373779296875,0
18,0,0.695677110424,0.49072265625,-0.959662951778,52000,64,0,1,frozen_profile,0.25,0.1875,0
19,0,0.695677110424,0.49072265625,-0.916169206548,52000,64,0,1,mismatched_encoder,0.2470703125,0.37646484375,0
20,0,0.695677110424,0.49072265625,0.974674790329,52000,64,0,4,oracle_context,1,0,0
21,0,0.695677110424,0.49072265625,-0.922328409654,52000,64,0,4,learned_local_cue,0.24951171875,0.375244140625,0
22,0,0.695677110424,0.49072265625,-0.959662951778,52000,64,0,4,frozen_profile,0.25,0.1875,0
23,0,0.695677110424,0.49072265625,-0.927772115488,52000,64,0,4,mismatched_encoder,0.2578125,0.37109375,0
24,0,0.695677110424,0.49072265625,0.974674790329,52000,256,0,0,oracle_context,1,0,0
25,0,0.695677110424,0.49072265625,0.974674790329,52000,256,0,0,learned_local_cue,1,0,0
26,0,0.695677110424,0.49072265625,-0.959662951778,52000,256,0,0,frozen_profile,0.25,0.1875,0
27,0,0.695677110424,0.49072265625,-0.935747711062,52000,256,0,0,mismatched_encoder,0,0.5,0
28,0,0.695677110424,0.49072265625,0.974674790329,52000,256,0,1,oracle_context,1,0,0
29,0,0.695677110424,0.49072265625,-0.909140371278,52000,256,0,1,learned_local_cue,0.25244140625,0.373779296875,0
30,0,0.695677110424,0.49072265625,-0.959662951778,52000,256,0,1,frozen_profile,0.25,0.1875,0
31,0,0.695677110424,0.49072265625,-0.916169206548,52000,256,0,1,mismatched_encoder,0.2470703125,0.37646484375,0
32,0,0.695677110424,0.49072265625,0.974674790329,52000,256,0,4,oracle_context,1,0,0
33,0,0.695677110424,0.49072265625,-0.922328409654,52000,256,0,4,learned_local_cue,0.24951171875,0.375244140625,0
34,0,0.695677110424,0.49072265625,-0.959662951778,52000,256,0,4,frozen_profile,0.25,0.1875,0
35,0,0.695677110424,0.49072265625,-0.927772115488,52000,256,0,4,mismatched_encoder,0.2578125,0.37109375,0
36,0,0.695677110424,0.49072265625,0.974674790329,52000,16,0.5,0,oracle_context,1,0,0
37,0,0.695677110424,0.49072265625,-0.597372147982,52000,16,0.5,0,learned_local_cue,0.54833984375,0.225830078125,0
