seed,phase,task,step,model,optimizer,rule,rate,selected_rate,common_rate,test_nmse,validation_nmse,population_nmse,parameter_norm,max_abs_parameter,gradient_clipped_steps,parameter_projected_steps,elapsed_seconds
211200,fresh,matching,0,algebraic,sgd,exact,0.03,True,True,0.7264049613684997,0.8137030720200218,0.7222775963101632,2.799365378271724,1.6417789839476682,0,0,0.022105972049757838
211200,fresh,matching,0,algebraic,sgd,unit_broadcast,0.01,True,False,0.7264049613684997,0.8137030720200218,0.7222775963101632,2.799365378271724,1.6417789839476682,0,0,0.022129619028419256
211200,fresh,matching,0,algebraic,sgd,unit_broadcast,0.03,False,True,0.7264049613684997,0.8137030720200218,0.7222775963101632,2.799365378271724,1.6417789839476682,0,0,0.02214432298205793
211200,fresh,matching,0,algebraic,sgd,calibrated_broadcast,0.03,True,True,0.7264049613684997,0.8137030720200218,0.7222775963101632,2.799365378271724,1.6417789839476682,0,0,0.0221567340195179
211200,fresh,matching,0,algebraic,sgd,sign_broadcast,0.01,True,False,0.7264049613684997,0.8137030720200218,0.7222775963101632,2.799365378271724,1.6417789839476682,0,0,0.022169176023453474
211200,fresh,matching,0,algebraic,sgd,sign_broadcast,0.03,False,True,0.7264049613684997,0.8137030720200218,0.7222775963101632,2.799365378271724,1.6417789839476682,0,0,0.022182233980856836
211200,fresh,matching,0,algebraic,adam,exact,0.003,True,True,0.7264049613684997,0.8137030720200218,0.7222775963101632,2.799365378271724,1.6417789839476682,0,0,0.022194239078089595
211200,fresh,matching,0,algebraic,adam,unit_broadcast,0.003,True,True,0.7264049613684997,0.8137030720200218,0.7222775963101632,2.799365378271724,1.6417789839476682,0,0,0.022206451976671815
211200,fresh,matching,0,algebraic,adam,calibrated_broadcast,0.003,False,True,0.7264049613684997,0.8137030720200218,0.7222775963101632,2.799365378271724,1.6417789839476682,0,0,0.02221894299145788
211200,fresh,matching,0,algebraic,adam,calibrated_broadcast,0.01,True,False,0.7264049613684997,0.8137030720200218,0.7222775963101632,2.799365378271724,1.6417789839476682,0,0,0.022231464041396976
211200,fresh,matching,0,algebraic,adam,sign_broadcast,0.003,False,True,0.7264049613684997,0.8137030720200218,0.7222775963101632,2.799365378271724,1.6417789839476682,0,0,0.022243649000301957
211200,fresh,matching,0,algebraic,adam,sign_broadcast,0.01,True,False,0.7264049613684997,0.8137030720200218,0.7222775963101632,2.799365378271724,1.6417789839476682,0,0,0.022255380055867136
211200,fresh,matching,1,algebraic,sgd,exact,0.03,True,True,0.7181500309805668,0.8037258718366495,0.7135423044001701,2.79870414965635,1.6417668231938325,0,0,0.04848284902982414
211200,fresh,matching,1,algebraic,sgd,unit_broadcast,0.01,True,False,0.7257561045952294,0.8130384676582025,0.7216820401324252,2.801958133414715,1.6463805527976991,0,0,0.048504368984140456
211200,fresh,matching,1,algebraic,sgd,unit_broadcast,0.03,False,True,0.7247354203087625,0.8120109711057455,0.7207749997375037,2.8073211249523293,1.655583690497761,0,0,0.04851922707166523
