hierarchy,cohort,run_dir,config_index,seed,regime,architecture,credit,depth,branch_factors,total_parameters,trainable_parameters,active_synapses,candidate_synapse_slots,persistent_state_scalars,config_sha256,final_sha256,fallback_mentions,nonfinite_alert,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc,train_categorical_loglikelihood,valid_categorical_loglikelihood,test_categorical_loglikelihood,mechanism,method,transport,signal_delta,train_gain_sigma,test_gain_sigma,source,reference_depth
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,0,10200,aligned,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,5e16da5ba8cc383015e1938d38cedbee41111c029b5c328335d043564cfb9c41,be631080e2ecde6cee430f93e1f2e540f164ae0352e165967a4f0e09963e9803,0,False,0.6101999878883362,0.6097999811172485,0.6062999963760376,0.6601700782775879,0.6585880517959595,0.6502136588096619,-0.652158260345459,-0.6526408195495605,-0.6570590734481812,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,1,10201,aligned,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,8c72d18601bb136a7bcdeba0656ea47ef5e6c77c2ab64d71ffd10b806b97286e,5546cb297550dd724a57adcd5891f3d88b2dd5689b38302ee0035b2c8a5a2c1d,0,False,0.6212999820709229,0.6108999848365784,0.6133999824523926,0.6719737648963928,0.6546404957771301,0.654876172542572,-0.64574134349823,-0.6555238366127014,-0.6556094288825989,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,2,10202,aligned,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,de8627551a0f56763b0fefaaaa8049be03283479df112a737c74962cfa44954d,39f4dec197d3601e7cfb1678ff5acef087f14c071d125137449ddb09015921c9,0,False,0.6129999756813049,0.6119999885559082,0.6150000095367432,0.6602505445480347,0.6539646983146667,0.6554334759712219,-0.651961624622345,-0.6557343602180481,-0.6556159853935242,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,3,10203,aligned,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,ae06b6ff6707c811c5e443611b92ac9e2cd0155219d0b4fca272552ad07be053,9b0ba579003b93acc68260b4201e85e9be18efecae7355967d0174acd4e6671a,0,False,0.6215999722480774,0.6139000058174133,0.6105999946594238,0.665164053440094,0.6597496271133423,0.6515676975250244,-0.6499782800674438,-0.6535024046897888,-0.6569262742996216,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,4,10204,aligned,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,394cf1b665445873ad66e21888fa150dc64f62f1ed47e90d886cd7d20514de27,3176b37cb84cf226cf0cc7d4c72ba712f5b0b561fdea7c48038f1e7d0a89e773,0,False,0.6256999969482422,0.6114999651908875,0.6008999943733215,0.669594943523407,0.6536791324615479,0.6442314982414246,-0.6484502553939819,-0.6558992266654968,-0.660352885723114,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,5,10205,aligned,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,46e973bd5a2b9411161e8367893155be40e7e383e789947e5c190a8c38ed7e86,33181d88c2758bdd895adc5b7cb451a60b4a90028e1312e1cd34c241e06278ef,0,False,0.6123999953269958,0.5989999771118164,0.6089999675750732,0.6593645811080933,0.6432517766952515,0.6544353365898132,-0.6528986692428589,-0.6603774428367615,-0.6555069088935852,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,6,10206,aligned,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,c0a77feda0cf6e30a7364d7250d0ad55f4d6fb4cf341bdad0cd62a3258a17c79,8182d4c042a1e5df6e2cc188c48d3d34f3dbaee707abce57599426b852dca385,0,False,0.6103000044822693,0.6100999712944031,0.609499990940094,0.6567865610122681,0.6517608761787415,0.6537938117980957,-0.6534560322761536,-0.6565167307853699,-0.6552602648735046,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,7,10207,aligned,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,c67dd05574424b04e69b505db7d48df63e6ee7f92ae6c420584545caa5599885,695530838e651e35543a9d42cd8300289a180939dc18844eeb46c299204f1886,0,False,0.6193000078201294,0.6154999732971191,0.6083999872207642,0.6614623069763184,0.6596507430076599,0.6486987471580505,-0.6515102982521057,-0.6520617604255676,-0.6587837934494019,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,8,10208,aligned,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,6842f4202cc371b30fcbdf8fa783a5fd9ce0bbc95f12fded6e0d81dfe3fff19a,294964606b2a308004560b9e468f6bafbfee82816ae1e0a4f60d0f38b8baa5da,0,False,0.6171999573707581,0.6103999614715576,0.6154999732971191,0.6649444103240967,0.6490439176559448,0.654493510723114,-0.649599015712738,-0.6589421033859253,-0.655584454536438,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,9,10209,aligned,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,1b39276160aeb18693f0043eecf05ee4ffe3efb0e38f20c87d59543cc0e43c1c,fda28b4d3eab62dc0f5108b3e24b9ebcae580912272357b42ee796b307d141e0,0,False,0.6168999671936035,0.6110000014305115,0.6068999767303467,0.6566213369369507,0.6521898508071899,0.651107907295227,-0.6547210812568665,-0.6563470363616943,-0.6565092206001282,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,10,10200,aligned,grouped_point,full_bp,2,2x3,66178,66178,14336,21760,2944,00dca9724b3def8e241700d864e53e8f099142d6e222aa226ab4c3f4f9d33684,4f6d5f3fd71703682558285085aabb7c43f10edec03ce9800d529396165c75b5,0,False,0.6083999872207642,0.6114000082015991,0.6069999933242798,0.6585025787353516,0.6577070951461792,0.6494894623756409,-0.6529671549797058,-0.6531002521514893,-0.6574288606643677,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,11,10201,aligned,grouped_point,full_bp,2,2x3,66178,66178,14336,21760,2944,b8eb013f898c1bcf622b914b0ff8136ab9d4574300f2167e08b2fa09a7ad6220,4fa2e3aa68d45f58d3b4b5fbc1db7e410a248219a763a4dc7a94b43c3f1f4b8f,0,False,0.6218000054359436,0.6114999651908875,0.6128000020980835,0.6719698905944824,0.6544480919837952,0.6548610925674438,-0.6457231640815735,-0.6555562019348145,-0.6555650234222412,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,12,10202,aligned,grouped_point,full_bp,2,2x3,66178,66178,14336,21760,2944,665e674499121f9d51d711ed152b95597600a7586ecbe6b4b606284df2884e69,d00365f14becdfbc0178b6361763973d77de5698f1a757a41ccc55a437bb245c,0,False,0.613599956035614,0.611299991607666,0.6154999732971191,0.6602767109870911,0.653885006904602,0.6556465029716492,-0.6519486308097839,-0.6557484269142151,-0.6555057764053345,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,13,10203,aligned,grouped_point,full_bp,2,2x3,66178,66178,14336,21760,2944,a31c60201eecaf43db69efe49b34122fbe9a86d674271437bbd20e2a288928bc,7886e9714b8537b8204d789b1a98d42f73a558dc733ae3801865404352b1ae38,0,False,0.6214999556541443,0.6137999892234802,0.6111999750137329,0.6650845408439636,0.6596428751945496,0.6515010595321655,-0.6500314474105835,-0.6535196900367737,-0.6569852232933044,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,14,10204,aligned,grouped_point,full_bp,2,2x3,66178,66178,14336,21760,2944,966b82bff71f7d8f265acd8a744df6a5070b20406ec49a59a269a970a9132f23,c4147f9b724ab2a588296c71ae5b2b1f374922646184d1cfe931d53678c90722,0,False,0.6244999766349792,0.6121999621391296,0.6008999943733215,0.6696667075157166,0.6538694500923157,0.6443088054656982,-0.6484305262565613,-0.655827522277832,-0.660304069519043,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,15,10205,aligned,grouped_point,full_bp,2,2x3,66178,66178,14336,21760,2944,0b064103cd6bb75444dad6e0bcec9cad0b583ed97b96e9f3a9f65bfc3f184701,6667ba71c57fa5a305be9d1e903366bc08a33bbcdec0e1468c5811c84baf2729,0,False,0.613599956035614,0.6022999882698059,0.6100999712944031,0.6621218323707581,0.6447897553443909,0.6558404564857483,-0.6513317227363586,-0.6598753929138184,-0.6548357605934143,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,16,10206,aligned,grouped_point,full_bp,2,2x3,66178,66178,14336,21760,2944,e81f3e5772bb7212c86b8f64fa96c5cee8fb093ac2ec7110fee4dd03ca7f5ed6,3a5decb1a16f327697183ebca3c68bf1efc05b618580c23fe735d6eec88ba78d,0,False,0.6093999743461609,0.6100999712944031,0.6100000143051147,0.6568532586097717,0.6518020033836365,0.653927743434906,-0.6534407138824463,-0.6564511656761169,-0.6552197337150574,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,17,10207,aligned,grouped_point,full_bp,2,2x3,66178,66178,14336,21760,2944,e88db7d28c087721e5799ddd90a2fc2eb46b384c4dcdc2871355e7f36e2c8164,c6332e63073076bd112c72c048e6e1d7fd8eb58ceea5413edcfc1394a580ed28,0,False,0.6195999979972839,0.6162999868392944,0.608299970626831,0.661596417427063,0.659610390663147,0.6489324569702148,-0.6514933705329895,-0.6520086526870728,-0.6587536334991455,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,18,10208,aligned,grouped_point,full_bp,2,2x3,66178,66178,14336,21760,2944,b8ab1f8308bc04ba434b85e2fc25980de98885dc714c12e89ff69ce95e677241,47414e38cac8e3d331c27096faad823d0acebe5e0d4b64844fbdb41f572c5dcf,0,False,0.6172999739646912,0.611299991607666,0.6166999936103821,0.6662853360176086,0.6500586867332458,0.6567824482917786,-0.6488348841667175,-0.6587534546852112,-0.6546580195426941,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,19,10209,aligned,grouped_point,full_bp,2,2x3,66178,66178,14336,21760,2944,c7685a67916d4eeb576646f29e0213fa1ba62e77820df158b49a977d545befd2,a19b3c748e55859aa5fd276d5aa493e2b1949474a96ef5fc7152305c92111e92,0,False,0.6169999837875366,0.611799955368042,0.6071000099182129,0.6566082835197449,0.6522088050842285,0.6512258648872375,-0.654735267162323,-0.6563752889633179,-0.6564369797706604,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,20,10200,aligned,grouped_point,full_bp,3,2x1x2,66178,66178,14336,21760,2944,4fddc82fb5a88f2deb2f683756724cbc9a96c75b437ddb51a8bc9c5184865793,e8ebe0e7d72afbe29e40b684b89a3642bb1a43d57bee137f428966b9dde331e0,0,False,0.6108999848365784,0.6100000143051147,0.6065999865531921,0.660187304019928,0.6585016250610352,0.6500722169876099,-0.6521539092063904,-0.6526001691818237,-0.6570876836776733,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,21,10201,aligned,grouped_point,full_bp,3,2x1x2,66178,66178,14336,21760,2944,ebdb1a4f7ab1df64d572d34ac790d3e05623c3bba6e5249f38ffe2cff8485267,ab91f612645df2436f9c78b54aeb8a6177a4588614b170bca0f8642fe8ad3ed2,0,False,0.621999979019165,0.6108999848365784,0.6129999756813049,0.6720271110534668,0.6543716192245483,0.654801070690155,-0.6457122564315796,-0.6556288003921509,-0.6556262373924255,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,22,10202,aligned,grouped_point,full_bp,3,2x1x2,66178,66178,14336,21760,2944,9328bcd85ed74dcd0d8106d6bbc3a6a72e7def845eb8faba66c9d20b53f97eeb,0644f223f8efaf1d54cdbdbf8d1a4412cb571ceee41428e910d55a09e04226e2,0,False,0.6152999997138977,0.6119999885559082,0.6157999634742737,0.661765456199646,0.6539826989173889,0.6549419164657593,-0.6509786248207092,-0.6556277871131897,-0.6557331681251526,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,23,10203,aligned,grouped_point,full_bp,3,2x1x2,66178,66178,14336,21760,2944,a30b1e8f3aec87d573238016f69cf929bf1a3f899bd6fc982c664fc1139ec761,ecfed550a5fc2a463273e299cda990f2e2c8e1d24c1e3909486f86a50ecafe4d,0,False,0.6207999587059021,0.6141999959945679,0.6111999750137329,0.6650955080986023,0.6595869064331055,0.6513434648513794,-0.6499841809272766,-0.6535236239433289,-0.6570565700531006,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,24,10204,aligned,grouped_point,full_bp,3,2x1x2,66178,66178,14336,21760,2944,aa98d9a754706c1c489cf158e91897518eaf4c9a7fd2aa3a9109aeb20027cf25,7f9bc0797f987d3705c658faad981c09297576246739b46f204ef89bfee14bd9,0,False,0.6252999901771545,0.6118999719619751,0.600600004196167,0.6696422696113586,0.6537542939186096,0.6443410515785217,-0.6484341025352478,-0.6558595299720764,-0.6602892279624939,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,25,10205,aligned,grouped_point,full_bp,3,2x1x2,66178,66178,14336,21760,2944,65570655174e60c8ad4e7a350daad365395f7a4c7e7c2b151573f55dd25259e6,8ca17dbda625c4534209eb5bbf206faf84aa63be4817199fb0933f59c3fe5a7a,0,False,0.611299991607666,0.5999999642372131,0.6074999570846558,0.6593239307403564,0.6434109807014465,0.6544791460037231,-0.6529080867767334,-0.6603108048439026,-0.6554867625236511,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,26,10206,aligned,grouped_point,full_bp,3,2x1x2,66178,66178,14336,21760,2944,ac650139391ae0c61f29006905f0362c1989ddfc633f5d99dd589a5be592748e,712101ff2dc4521ddf15b6d1ad785564f5f46e3ceaaaf425238a9d69092fdbde,0,False,0.6103000044822693,0.6096000075340271,0.6100999712944031,0.6568244695663452,0.6517665386199951,0.6539650559425354,-0.6534342765808105,-0.6564639210700989,-0.6551824808120728,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,27,10207,aligned,grouped_point,full_bp,3,2x1x2,66178,66178,14336,21760,2944,3b0adf71d3ee78937d89866064d6eb73176d092b8e00d8b7ef65453e909e6a09,b40abde3460f355a59e75ce40ead1a5946094a3c2b0b23ae0a3ff9ed22717e04,0,False,0.6197999715805054,0.6164999604225159,0.6086999773979187,0.6615069508552551,0.6595035195350647,0.6488533616065979,-0.6515119075775146,-0.6520453691482544,-0.658775269985199,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,28,10208,aligned,grouped_point,full_bp,3,2x1x2,66178,66178,14336,21760,2944,26235b80ed1219ecdf88537b3ab3655851534462ed81403436a76ae7c99db3ec,afa0eea81c6332d9891845597d704b92710801181f0d5fc17fcc9010ad4d25bf,0,False,0.6133999824523926,0.6101999878883362,0.6140999794006348,0.6631181240081787,0.6479247808456421,0.6521080136299133,-0.6505951881408691,-0.6590306758880615,-0.6565146446228027,,,,,,,,
3,journal_remaining_h3_aligned_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260813080203,29,10209,aligned,grouped_point,full_bp,3,2x1x2,66178,66178,14336,21760,2944,c56aaaa3e5de06af94439c483801a7c7427d828b31dee4c4caeb4acef33abf34,d302ecc7aa13d65773ae309c16bf1e71b906d873385693d82a42952d140494f9,0,False,0.6171000003814697,0.6114999651908875,0.6071000099182129,0.656672477722168,0.6522243022918701,0.6511363983154297,-0.6547366976737976,-0.6563807129859924,-0.6564776301383972,,,,,,,,
3,journal_remaining_h3_rewired_tree_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_rewired_tree_grouped_point_bp_20260813080205,0,10200,rewired_tree,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,e39811200bcc24bfb1708d1e815a89019a336516d36a5f185a85ea7fdff3f411,0bb560a102d16208b7fe888333fc7f9032248bde3a990ecb7b3d0ba631cb9f92,0,False,0.6134999990463257,0.6111999750137329,0.6083999872207642,0.662875771522522,0.6614176630973816,0.6525120139122009,-0.6507149934768677,-0.6511727571487427,-0.6557772159576416,,,,,,,,
3,journal_remaining_h3_rewired_tree_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_rewired_tree_grouped_point_bp_20260813080205,1,10201,rewired_tree,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,24a0acabe3a6dd0971d2e05062e38b896d1cbdadafa52d3c8243e181847a4d87,52ef255475a03f814db5774c3cb9b928886cec0ddb35956f3d0a5b9851f28f8d,0,False,0.6229000091552734,0.6108999848365784,0.6144999861717224,0.6748537421226501,0.6578947305679321,0.6582543849945068,-0.6440726518630981,-0.653639018535614,-0.6539263725280762,,,,,,,,
3,journal_remaining_h3_rewired_tree_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_rewired_tree_grouped_point_bp_20260813080205,2,10202,rewired_tree,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,014c090e097982181ff3aee38eac13b20f3079e29a8d7fffb844a4fe80aa2286,f6d9f081de38c9c51ef7192e9d8ac2d0c2b685f6860eb86e56efc0c2ef5a5e66,0,False,0.616599977016449,0.613599956035614,0.6164000034332275,0.6668593883514404,0.6576298475265503,0.6588767170906067,-0.6479679942131042,-0.6540392637252808,-0.6542065143585205,,,,,,,,
3,journal_remaining_h3_rewired_tree_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_rewired_tree_grouped_point_bp_20260813080205,3,10203,rewired_tree,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,2582ed6e2f747bf9ce2bbfbdc991333dcb2fd171ce6e08174916e59ddc899d23,e289633b86f112ecf9a1d159accba97b7318ad7f82bdd7fc67a94011d29c661b,0,False,0.6250999569892883,0.6193999648094177,0.6136999726295471,0.6678881049156189,0.6625340580940247,0.6544585824012756,-0.6485509872436523,-0.6521182656288147,-0.6555503606796265,,,,,,,,
3,journal_remaining_h3_rewired_tree_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_rewired_tree_grouped_point_bp_20260813080205,4,10204,rewired_tree,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,7654ffb287a3c95081c5cd3854de412aed530fa637c99809e671b7f26b5bb9eb,820855a26e233a979ea9b4c175993cfbb7581e16ded5da027b256fedf8d7d0d8,0,False,0.6268999576568604,0.6125999689102173,0.6015999913215637,0.6724947094917297,0.6570828557014465,0.6470462679862976,-0.647017776966095,-0.6540562510490417,-0.6590608954429626,,,,,,,,
3,journal_remaining_h3_rewired_tree_grouped_point_bp,remaining_physical_experiment_runs/journal_remaining_h3_rewired_tree_grouped_point_bp_20260813080205,5,10205,rewired_tree,grouped_point,full_bp,1,8,66178,66178,14336,21760,2944,e840a3aaf223167990d5f6b32ac6092f89058de772e6e5a5ca606f817828096b,beb17d5c70c2a06b8e1a3cec415391115859201692b0f04cd86b38d80f486e39,0,False,0.6150000095367432,0.6049999594688416,0.6114999651908875,0.6649659276008606,0.6472894549369812,0.6581712961196899,-0.6495956182479858,-0.6587889194488525,-0.6536139249801636,,,,,,,,
